date,platform,content_type,post_id,views,likes,comments,shares
01-01-2024,Instagram,Reel,P001,12000,950,120,60
02-01-2024,Instagram,Image,P002,8000,430,45,20
03-01-2024,LinkedIn,Text,P003,5000,210,35,15
04-01-2024,LinkedIn,Carousel,P004,7200,390,55,25
05-01-2024,Twitter,Text,P005,4600,180,22,10
06-01-2024,Instagram,Reel,P006,15000,1200,160,90
07-01-2024,Twitter,Image,P007,5200,260,30,18
08-01-2024,LinkedIn,Text,P008,6100,300,40,20
09-01-2024,Instagram,Carousel,P009,9800,640,85,40
10-01-2024,Twitter,Text,P010,4300,150,18,8
